millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743849852536.087,13.00051,-3.268085,2.533065,0.314159,-0.435133,0.270459
1743849852942.8628,13.23754,-2.403779,1.302446,-0.495087,-0.210772,0.159078
1743849853310.2341,11.33176,-1.764527,0.919373,0.810579,-0.380242,0.014922
1743849853716.8691,4.867412,-1.391031,-2.952051,0.374646,-0.027712,0.248077
1743849854129.8901,2.65517,-0.679953,-2.0231,-0.711988,1.097825,-0.728775
1743849854538.5664,15.77061,-1.458069,2.475605,1.01309,-0.722913,1.088766
1743849854949.9148,14.71476,-2.861071,3.335123,-1.760251,0.392233,-0.902242
1743849855437.4888,8.827422,-0.818817,-0.220267,-0.118576,-0.330413,-0.107118
1743849855774.1555,5.619191,0.433351,-0.921768,-0.123639,-0.14842,-0.133498
1743849856183.0488,9.148245,-1.802834,-0.517148,1.453286,0.060487,0.273391
