millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741854865599.0505,10.29746,-3.078943,0.897826,1.043467,-0.149485,0.162542
1741854865796.1948,10.0317,-2.782062,0.531513,1.228392,-0.309096,0.226227
1741854865991.2073,9.947908,-2.703054,0.423774,1.166839,-0.22143,0.155881
1741854866215.8838,11.66455,-3.3447,0.828394,0.88359,-0.468974,0.232089
1741854866420.978,10.24239,-2.157176,1.443704,0.707991,-0.342404,0.119642
1741854866616.0022,9.91439,-1.757344,1.000776,0.689072,-0.20944,0.004796
1741854866832.992,10.05565,-1.687912,0.790087,0.589149,-0.192919,0.00453
1741854867033.5967,10.01734,-1.690306,1.266533,0.766613,-0.129501,-0.005329
1741854867238.3577,10.16339,-1.917756,0.993594,0.735969,-0.150285,0.149752
1741854867438.6304,10.97502,-2.420538,1.345541,0.467375,0.027179,0.10392
1741854867649.6392,9.730036,-2.25055,0.409408,0.001066,0.162542,-0.027179
1741854867853.394,10.29507,-2.420538,0.993594,-0.22223,-0.068747,-0.10472
1741854868035.91,9.97185,-2.164358,1.300052,-0.522799,-0.125237,-0.172401
1741854868239.252,9.967062,-2.118869,1.25935,-0.937415,0.163874,-0.197715
1741854868466.1191,9.885659,-1.673547,0.452504,-1.14419,0.392233,0.036239
1741854868666.9177,9.957485,-1.924938,0.253785,-0.960064,0.168404,-0.05196
1741854868882.8064,9.969456,-2.183512,0.433351,-0.901176,0.128701,-0.108184
1741854869086.6934,10.15141,-1.996764,0.390255,-1.0003,0.039703,-0.150818
1741854869288.173,10.44351,-1.812411,0.299275,-1.119409,0.078873,-0.324551
1741854869486.3022,10.20648,-1.563414,0.356736,-0.964861,0.210772,-0.232622
1741854869682.5156,10.00776,-1.364695,0.031125,-0.832429,0.121773,-0.012257
1741854869885.052,10.2831,-1.367089,0.031125,-0.510009,0.192652,-0.088199
1741854870102.5352,9.662998,-1.711854,0.517148,-0.118043,0.215035,-0.003198
1741854870303.6873,9.94312,-2.006341,0.677559,-0.009326,-0.025847,0.062352
1741854870503.2764,9.801862,-2.647987,0.739808,-0.123372,0.041568,0.026646
1741854870734.5251,9.756371,-2.631228,0.756568,-0.324818,0.07008,0.045299
1741854870917.8557,9.742006,-2.712631,0.768539,-0.206775,-0.079406,0.036772
1741854871132.6006,10.24,-2.377442,1.295263,-0.219832,0.070613,-0.107651
1741854871325.608,9.945514,-2.585738,0.976834,0.070613,0.166006,0.007994
1741854871533.5767,9.65821,-2.363077,0.926556,0.259268,0.084735,0.039436
