millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741854945145.293,9.775525,-1.673547,0.926556,1.531093,-0.154015,0.31336
1741854945370.1396,9.818622,-1.970428,0.893037,1.019752,-0.174799,0.2614
1741854945571.138,10.35971,-2.360683,0.921768,0.53106,-0.026646,0.122573
1741854945777.3508,10.00297,-1.951274,0.723049,0.395963,0.078074,-0.039703
1741854945979.2756,9.73243,-0.751779,0.778116,0.245412,0.000799,0.025847
1741854946173.0813,9.840169,-0.148441,0.943315,-0.00826,-0.281384,-0.082337
1741854946394.0818,10.27831,-1.781286,0.78051,0.564368,-0.20944,0.094328
1741854946603.0852,10.68293,-1.25935,1.154005,0.851081,-0.102055,0.172401
1741854946811.4648,11.18332,-1.886631,0.924162,0.32242,0.113513,0.020784
1741854947016.8826,9.861717,-1.68073,-0.186748,-0.098325,0.007194,-0.054625
1741854947212.8037,9.734824,-2.008735,0.579397,-0.268594,-0.237152,-0.098058
1741854947412.9102,9.993398,-1.87466,0.620098,-0.636579,0.068747,-0.146288
1741854947619.0828,9.799467,-1.534683,0.050278,-0.551044,0.393565,-0.021583
1741854947826.241,10.12987,-1.041478,0.038307,-0.03917,-0.095394,0.160677
1741854948047.7627,10.12029,-0.782904,0.31364,0.02185,-0.190787,-0.063152
1741854948229.97,10.41717,-1.060631,0.574608,0.395164,-0.157479,0.053026
1741854948444.6765,11.02769,-0.627281,1.127669,0.768744,0.075142,0.225161
1741854948652.28,9.248801,-1.240196,-0.150835,0.394897,0.352796,-0.090864
1741854948846.288,10.60871,-2.066196,0.438139,-0.436732,-0.131899,-0.016254
1741854949063.205,9.979033,-1.747767,0.526724,-1.190021,-0.081538,-0.140959
1741854949248.9233,10.25197,-1.731008,0.744597,-1.679247,0.259801,-0.23049
1741854949461.8691,9.593566,-1.405396,0.031125,-1.522034,0.348,-0.039436
1741854949655.092,9.706094,-1.687912,-0.476446,-1.77011,0.177997,-0.191587
1741854949879.142,10.01255,-0.88346,-0.526724,-1.911069,0.082603,-0.276055
1741854950062.4075,10.68053,-0.756568,-0.665588,-1.882557,0.07834,-0.2177
1741854950282.06,10.08917,-0.265756,-0.782904,-1.050928,0.181461,-0.005862
1741854950479.7373,10.42435,-1.027112,-0.222661,-0.514539,0.259268,0.026113
1741854950704.512,10.22324,-2.377442,0.04549,-0.048763,-0.020518,0.017853
1741854950896.6348,10.02692,-2.743755,0.002394,0.319755,-0.092462,0.180129
1741854951096.102,10.05565,-2.568978,0.452504,0.37438,0.007994,0.103654
