millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741855038355.6667,10.57519,-2.856283,-0.464475,0.451121,0.435133,0.051694
1741855038548.3823,10.45548,-2.317587,0.361524,0.901176,-0.009326,-0.128701
1741855038752.7883,9.354146,-2.875436,0,1.730674,-0.016254,-0.000799
1741855038960.0,10.03889,-2.80361,0.083797,1.106619,-0.555308,0.279786
1741855039173.875,10.92714,-1.082179,-0.339977,0.948873,-0.189455,0.428472
1741855039377.8176,8.875306,-2.030283,-0.076614,2.442395,-0.231023,0.732239
1741855039560.8164,11.24557,-3.323152,-0.107739,1.790095,-0.404224,-0.050628
1741855039763.532,9.390059,-3.315969,0.703895,1.223862,-0.170802,0.094594
1741855039978.7334,9.445126,-2.530671,0.311246,0.490557,0.059421,0.160677
1741855040188.7732,10.97502,-1.400608,1.39582,1.360557,0.156413,-0.414349
1741855040403.6233,8.832211,-0.414197,0.909797,0.859342,0.305899,-0.410619
1741855040614.2651,12.41394,0.679953,1.460463,0.673351,-0.144956,0.040502
1741855040804.001,8.975863,-1.039083,0.799663,0.038104,-0.12657,0.286714
1741855041005.53,10.25676,0.562637,1.352724,-0.125504,-0.149219,0.24328
1741855041204.9712,9.880871,-0.517148,0.641646,-0.036772,-0.063685,0.212371
1741855041420.9377,12.51689,-0.368707,4.458004,0.155348,-0.501216,0.176132
1741855041622.9387,9.646238,-2.226608,-0.105345,-0.51747,-0.053292,-0.111115
1741855041827.2964,11.03966,-0.308852,-0.153229,-0.231822,0.092196,-0.225161
1741855042027.3083,9.392453,-1.027112,0.921768,0.198781,0.00906,-0.107384
1741855042230.6821,9.938332,-2.53546,0.172383,0.884922,-0.263798,-0.001066
1741855042424.5613,9.325416,-2.331953,0.371101,0.032242,-0.237418,0.251541
1741855042655.799,10.68772,-1.707066,0.632069,-0.66589,0.23955,-0.163342
1741855042856.513,10.6111,-1.086968,1.307234,-0.445792,0.159345,-0.334943
1741855043045.6797,9.421184,-0.040701,0.146046,-0.287247,0.230757,-0.06102
1741855043248.316,10.49139,-0.543484,0.600945,-1.480732,0.125237,0.134564
1741855043478.0562,9.662998,-1.999158,-1.529895,-2.358459,0.342671,-0.116711
1741855043674.568,11.14501,-0.792481,-0.768539,-2.287847,0.090864,-0.110848
1741855043859.0576,9.909601,-1.400608,-0.093374,-1.776239,0.314692,0.003198
1741855044077.2046,12.40675,-2.262521,0.387861,-1.684309,-0.071678,-0.374913
1741855044271.4592,10.17775,-1.683124,-1.067814,-1.910536,0.134297,-0.101789
