millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741854895495.6592,11.066,-2.322376,1.594538,-0.710123,0.154548,-0.231289
1741854895691.5764,8.865729,-2.750938,0.756568,-0.614995,0.394897,0.052493
1741854895902.4797,10.43154,-2.171541,0.976834,-0.80445,0.053292,-0.204377
1741854896102.5386,10.29746,-1.927332,0.565032,-0.849216,-0.147887,-0.263531
1741854896311.9436,9.981427,-1.819593,0.739808,-0.500949,0.050361,-0.086334
1741854896530.2437,10.9008,-2.152387,0.663194,-0.002398,0.142557,0.032242
1741854896733.5017,9.464279,-2.566584,0.102951,-0.346135,0.305899,-0.136695
1741854896931.8323,10.53209,-2.760514,0.373495,-0.76608,0.058355,0.020251
1741854897139.4722,9.880871,-2.782062,0.770933,-0.857476,0.100723,-0.021583
1741854897349.1833,9.864111,-3.203442,0.969652,-0.612597,0.288046,-0.079139
1741854897549.307,10.10593,-3.318364,0.984017,0.020251,0.06102,0.072744
1741854897748.4463,9.433155,-3.1795,0.732626,0.347201,-0.002931,0.099923
1741854897964.0393,10.55364,-2.841918,0.553061,0.577957,-0.38264,0.161476
1741854898155.5566,9.787497,-3.222595,0.73502,0.658695,-0.366652,0.064217
1741854898350.2725,10.05325,-3.1795,0.88346,1.156447,-0.301636,0.124172
1741854898563.6672,10.31422,-3.064578,0.749385,1.593179,-0.267795,0.142557
1741854898770.2854,9.627085,-3.342306,0.47884,1.694435,-0.50921,0.252073
1741854898981.7244,9.955091,-3.79481,0.232238,1.962496,-0.764747,0.339207
1741854899178.2583,9.77792,-3.576937,0.667982,1.924925,-0.584352,0.196116
1741854899396.972,9.378088,-3.61285,0.64404,1.431969,-0.355727,0.178263
1741854899596.5247,9.727641,-3.294421,0.354342,1.212937,-0.155348,0.297905
1741854899802.6306,9.775525,-2.794033,0.339977,1.234521,-0.281917,0.284315
1741854899999.5212,9.701305,-2.705448,0.679953,1.128735,-0.461779,0.155881
1741854900191.1274,9.825804,-2.904167,1.041478,1.171636,-0.495087,0.054092
1741854900414.4812,10.30943,-2.906561,1.079785,1.314992,-0.415681,0.180928
1741854900613.1816,9.651027,-2.870648,1.228225,0.993905,-0.008527,0.08287
1741854900833.084,9.124303,-3.651158,0.177171,0.842821,-0.408753,0.009859
1741854901032.5278,10.24,-2.995146,1.338359,0.863072,-0.449256,0.232355
1741854901238.1104,9.878476,-2.817975,1.113304,0.343204,0.147087,0.033574
1741854901433.9543,9.639056,-2.841918,0.876278,0.249142,0.132965,0.027979
