millis,accX,accY,accZ,gyroX,gyroY,gyroZ
62620707,11.643003,-0.651223,-2.576161,-0.040769,-0.532392,-0.011724
62921706,10.603919,-0.888249,-2.942474,-0.181727,0.274190,-0.005596
62964707,9.586384,-1.034295,-2.789245,-0.196649,0.506012,-0.007194
63007707,8.164227,-1.055843,-2.506729,-0.199580,0.736502,-0.005596
63050707,8.164227,-0.701501,-1.857901,-0.216634,0.803917,-0.051427
63093707,7.826645,-0.864307,-1.601721,-0.122573,1.098625,-0.043167
63136706,5.702989,-0.586579,-1.209072,-0.093528,1.232389,-0.026113
63179707,5.485116,-0.256180,-0.857124,-0.101789,1.028012,-0.010126
63222707,6.763620,-0.447716,-0.533907,-0.071145,1.008028,0.035706
63265707,9.040505,-0.495600,0.672771,-0.090331,0.667222,-0.099657
63351707,9.591172,-0.928950,1.022324,-0.060221,0.314692,-0.120175
63394706,8.650250,-1.242591,1.065420,-0.066083,-0.059954,-0.032775
63523707,9.995792,-0.500388,1.144428,0.009859,0.088466,-0.070346
63566707,9.339781,-0.519542,1.012747,0.025047,-0.196649,-0.037038
