millis,accX,accY,accZ,gyroX,gyroY,gyroZ
49733598,10.793061,-0.821211,-0.823605,0.024515,-0.923559,0.111648
49905707,9.683704,-1.216254,-4.280833,-0.029844,-0.845219,0.033841
49948706,9.975020,-0.543484,-5.623980,-0.021317,-0.849482,0.025047
50206707,9.963050,-1.386243,-5.887342,-0.013856,0.207308,-0.114046
50249707,9.402030,-1.304840,-5.128380,0.010392,0.588616,-0.058622
50292707,9.251195,-1.103727,-5.066131,-0.012257,0.797522,-0.066616
50335707,8.822633,-1.034295,-4.192247,0.017054,1.211871,-0.028778
50378707,7.074866,-0.876278,-3.722984,-0.097792,1.514839,-0.050628
50421706,5.973533,-0.445322,-2.724602,-0.044499,1.611299,-0.033841
50464707,5.844246,-0.682347,-1.704672,-0.018386,1.699764,0.047963
50507707,5.932832,-0.526724,-1.194707,-0.039436,1.551345,0.036505
50550707,7.297527,-0.323217,-0.265756,-0.029311,1.127936,-0.042900
50679707,8.432379,-0.881066,0.641646,-0.021583,0.443394,-0.069813
50722707,9.998186,-0.751779,0.596156,-0.025047,0.093262,-0.058622
50765707,9.694899,-0.660800,0.864307,0.007461,0.150018,-0.013590
