millis,accX,accY,accZ,gyroX,gyroY,gyroZ
15246706,6.900089,0.548272,3.265691,-0.189188,-1.757853,-0.188655
15289705,6.557718,0.316035,2.595315,-0.238217,-2.171136,-0.082337
15332706,5.568913,-0.107739,1.132457,-0.302168,-2.560172,-0.280585
15375705,4.505888,0.423774,-1.417367,-0.363988,-2.900977,-0.439397
15418705,3.303998,0.624887,-2.248155,-0.528129,-3.230858,-0.456717
15461705,2.006341,0.854730,-4.510676,-0.525730,-3.537023,-0.669620
15504701,0.090980,1.872266,-5.774815,-0.778870,-3.876230,-0.673617
15547706,-1.774103,2.597709,-8.348581,-0.195051,-4.161345,-0.484162
15590705,-1.783680,1.462857,-10.376471,-0.668288,-4.400095,-0.885455
15633705,-4.015076,4.070143,-13.431472,-0.438597,-4.672420,-0.885721
15676701,-3.758897,4.594473,-21.502325,0.408220,-4.408622,-0.415948
15719705,0.833182,1.716643,-30.075962,0.459914,-2.642775,-0.225161
15762701,0.648829,1.130063,-23.374592,-0.661360,-0.332812,-0.765813
15805705,-0.814029,5.276821,-15.660473,-0.863338,0.337608,-0.579822
15848701,-0.907402,3.852271,-11.937490,-0.435933,0.253406,0.040502
