millis,accX,accY,accZ,gyroX,gyroY,gyroZ
35090595,6.675035,-0.138864,5.518635,0.047697,-0.247277,-0.145755
35176705,6.811504,-1.266533,8.104373,-0.429538,-1.063718,-0.832162
35219704,4.402937,2.691083,7.551312,-0.530260,-1.773841,-0.764747
35262700,5.640739,1.845930,3.754108,-0.171868,-2.475703,-0.581421
35305700,3.722984,2.173935,0.921768,-0.090597,-2.870867,-0.543051
35348705,4.278439,1.738190,-2.688689,-0.360257,-3.191154,-0.736502
35391700,1.927332,2.908955,-3.189077,-0.386371,-3.338508,-0.667755
35477705,0.550666,3.423708,-7.278373,-0.773807,-3.596977,-0.917430
35563704,-3.497929,5.839458,-8.133103,-0.722913,-4.024649,-1.338441
35606700,-5.003881,4.939238,-11.295844,0.146554,-4.458717,-1.143923
35649700,-6.737284,5.865794,-14.468161,0.357859,-4.491225,-1.284616
35692701,-5.406107,8.757990,-24.164679,1.687773,-4.243415,-0.372515
35735704,0.605733,1.201889,-31.478964,1.837259,-2.176199,0.347467
35778700,-0.466869,2.964022,-25.354595,-1.584119,-0.099657,-0.847884
35821705,-1.692701,5.372589,-15.605407,-1.177764,0.773541,-0.496953
