millis,accX,accY,accZ,gyroX,gyroY,gyroZ
614637710,5.669470,-1.194707,7.651869,-0.430603,0.062352,-0.189988
614680710,3.734955,-1.170765,13.426683,-0.150818,-0.682677,-0.049296
614723710,3.258508,-0.612916,11.015722,-0.416481,-2.223629,-0.517470
614766705,1.386243,2.339135,7.338228,-0.276588,-3.264965,-0.650968
614809705,-0.148441,3.335123,1.920150,0.370116,-4.259403,-0.181994
614852705,-0.993594,1.596933,-3.198653,0.172934,-4.827501,0.134031
614895705,-2.499547,1.417367,-9.138668,-0.310695,-4.987645,0.079939
614938710,-3.720589,1.781286,-11.631032,-0.852147,-4.995106,-0.147620
614981705,-3.165135,0.260968,-15.406688,-0.286181,-4.794726,-0.081804
615024710,-2.767697,-0.385466,-16.780960,-0.360524,-4.558107,-0.518270
615067705,-1.697489,1.055843,-26.982653,1.290478,-4.696402,0.021583
615110710,2.698265,-2.566584,-29.922733,0.284848,-2.272925,0.257403
615153705,2.466028,-1.529895,-23.257275,-0.827632,-0.919562,-0.316557
615196705,1.922544,0.682347,-18.413805,-0.327216,-0.021850,-0.227026
615239710,1.218649,1.479617,-14.532804,-0.257403,0.224095,-0.017054
