millis,accX,accY,accZ,gyroX,gyroY,gyroZ
555849698,8.262390,0.213084,0.763750,0.400493,1.573461,-0.197182
555892698,7.855376,0.746991,1.865083,0.460181,2.035773,-0.423942
555978703,6.143522,0.737414,1.781286,0.672018,1.814610,-0.213436
556021698,4.620809,2.408567,2.111686,1.166040,1.892949,-0.109516
556064698,3.790021,0.761356,1.927332,1.770643,1.530294,-0.115112
556107698,1.252167,2.181118,0.366313,1.291810,2.210306,-0.543850
556150698,-0.732626,4.022259,2.966416,1.036006,2.214037,-0.751158
556193698,-4.319140,6.021417,5.391742,0.692536,2.304900,-0.873197
556236698,-4.484340,3.658340,7.003040,0.929954,1.759985,-1.087966
556279698,-5.504270,6.756437,9.030929,-0.605936,2.950273,-1.519636
556322701,-7.735666,8.892065,19.644424,-0.689871,2.923626,-0.439930
556365698,-5.820304,5.580884,22.412123,-1.317657,2.542052,0.127103
556408698,-5.183447,3.119645,22.969971,-0.472171,1.280619,0.098058
556451703,-3.955221,1.460463,16.493656,-0.317357,0.192386,0.145222
556494698,-3.071761,0.905008,12.538434,-0.014389,0.165473,-0.043700
