millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743732002130.448,9.119514,-0.514753,4.194642,-0.224095,0.176931,0.020784
1743732002659.1794,9.988609,-0.471658,3.663129,-0.866802,0.205976,-0.385571
1743732002948.1455,5.228937,-2.738967,3.907337,-0.857743,0.217966,-0.326417
1743732003361.6304,9.038112,2.8491,-0.792481,-0.188922,-2.18366,0.324551
1743732003971.6626,6.299145,-2.990358,4.235343,0.086067,0.893982,0.839357
1743732004376.3071,4.398149,-9.279925,7.546524,-0.296839,0.037571,-0.523332
1743732004996.3054,4.752491,-8.583213,2.566584,-0.724245,0.243813,-0.072744
1743732005183.2434,4.584896,-9.617508,1.491588,-0.196116,-0.094594,0.062619
1743732005816.1025,4.060566,-9.112331,2.492364,0.219032,0.141225,0.034107
1743732006162.1848,4.673482,-9.172187,1.910573,-0.344536,-0.127902,-0.151884
