millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743732026562.208,9.088389,0.268151,4.254497,0.011458,0.007994,-0.01279
1743732026662.4038,9.085996,0.019154,4.750096,-0.331746,0.17853,-0.155081
1743732027384.5906,7.03177,-1.027112,4.826711,-1.089299,0.249942,-0.666689
1743732027479.6833,6.758832,-1.115698,4.829105,-0.993905,0.09566,-0.563568
1743732028050.9224,9.033323,-1.149217,5.374983,0.955801,0.309363,0.475369
1743732028526.1904,5.884948,-1.47004,6.677429,-0.245412,1.832995,0.379709
1743732029129.0835,2.588132,-0.447716,10.24239,0.365853,0.487626,-0.034107
1743732029302.4355,1.558625,0.141258,9.765948,0.0429,0.026646,-0.061553
1743732029982.0085,2.3535,1.154005,9.528923,0.620058,0.291776,0.126037
1743732030105.722,1.474828,4.419696,8.516175,0.547314,0.224628,-0.012524
