millis,accX,accY,accZ,gyroX,gyroY,gyroZ
19438619,10.591949,-0.392649,-3.869030,-0.000799,0.169204,0.006129
19476729,10.249578,-0.339977,-2.164358,-0.214502,1.540420,-0.019452
19514728,10.204087,-0.316035,-0.763750,-0.019185,1.251841,-0.042900
19552728,10.156203,-0.304064,1.163582,0.073544,0.942211,-0.037571
19590728,10.340557,-0.229843,-0.102951,0.050894,0.318423,-0.016521
19628728,10.237606,-0.246603,0.605733,0.066349,0.217167,-0.015721
19666728,10.412383,-0.339977,-0.509965,0.007461,0.081271,-0.010392
19704728,10.292673,-0.227449,0.691924,0.006928,0.153482,-0.011458
19742728,10.388441,-0.284910,-0.071826,-0.007461,-0.051161,-0.007461
19780728,10.326192,-0.208296,-0.076614,-0.009060,-0.009593,-0.007994
19818729,10.319010,-0.294487,0.002394,-0.006928,0.013590,-0.008527
19856728,10.381259,-0.294487,0.016759,-0.009060,-0.052493,-0.005862
19894728,10.381259,-0.265756,-0.117316,-0.007461,-0.018919,-0.008527
19932728,10.314221,-0.258574,0.191536,-0.008527,-0.065816,-0.007727
19970728,10.364499,-0.296881,-0.481235,-0.007727,-0.019452,-0.008527
