millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741854448818.9714,0.277727,0.423774,9.507375,0.00826,-0.015721,0.009593
1741854449038.082,0.134075,0.414197,9.378088,-0.015988,-0.028778,-0.051161
1741854449246.4011,0.220267,0.220267,9.543288,0.033041,-0.021317,0.007727
1741854449420.8877,0.213084,0.521936,9.52174,-0.002132,-0.006662,-0.001066
1741854449643.1765,0.146046,0.474052,9.507375,0.014922,-0.018919,-0.015455
1741854449843.635,0.023942,0.579397,9.737218,0.02185,-0.031709,-0.004796
1741854450057.9482,0.134075,0.620098,9.509769,-0.002931,-0.031975,-0.005862
1741854450248.9136,0.268151,0.622492,9.378088,-0.035173,-0.020518,0.002132
1741854450473.6736,0.347159,0.617704,9.476251,-0.041835,-0.092196,-0.007994
1741854450674.4604,0.332794,0.548272,9.466674,-0.015721,-0.044233,-0.017054
1741854450864.8552,0.447716,0.548272,9.433155,-0.00906,-0.058355,0.000533
1741854451058.2449,0.519542,0.59855,9.404425,-0.023982,-0.058888,0.006928
1741854451279.75,0.59855,0.4956,9.497798,-0.011724,-0.044499,-0.012524
1741854451474.2434,0.610521,0.416591,9.52174,-0.022116,-0.013856,-0.007727
1741854451690.8904,0.47884,0.526724,9.519346,-0.020784,0.037838,-0.007994
1741854451895.9294,0.529119,0.399832,9.416395,-0.002132,-0.038904,-0.004796
1741854452096.1516,0.373495,0.409408,9.43076,-0.017587,0.050095,-0.02558
1741854452314.071,0.277727,0.423774,9.421184,-0.014123,0.000533,-0.024515
1741854452512.7312,0.356736,0.519542,9.473856,-0.035173,-0.019985,-0.014655
1741854452723.6755,0.296881,0.385466,9.483433,0.001599,-0.005596,-0.010925
1741854452924.734,0.287304,0.332794,9.600749,-0.019452,-0.005329,-0.015721
1741854453124.9146,0.105345,0.445322,9.200917,0.015721,0.018386,-0.001865
1741854453318.5518,0.263362,0.399832,9.502586,-0.010658,0.002931,-0.015988
1741854453543.8992,0.196325,0.361524,9.449914,-0.005862,0.007461,-0.011724
1741854453741.4849,0.167594,0.445322,9.435549,0.010392,0.006129,-0.017853
1741854453939.6238,0.217872,0.430956,9.476251,-0.005063,0.00373,-0.017587
1741854454156.7302,0.1652,0.462081,9.457097,-0.018652,-0.005063,-0.008527
1741854454368.6526,0.251391,0.483629,9.392453,0.011191,-0.002132,0.002132
1741854454552.0999,0.095768,0.52433,9.490616,0.021317,-0.006662,-0.013323
1741854454772.4392,0.095768,0.462081,9.5385,0.016787,-0.004796,-0.026113
