millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743732321412.5942,9.330204,-0.835576,3.96001,0.461247,-0.131899,0.214236
1743732322232.3196,9.234436,-0.248997,1.884237,-0.237152,-0.767145,-0.013856
1743732322943.6028,12.90475,-2.082955,-2.252944,0.287513,0.555841,-0.240616
1743732323455.4136,8.573636,-0.852336,3.919308,-0.167871,0.855611,0.05196
1743732324280.1528,6.34224,0.746991,8.762778,0.711188,1.352297,-0.369051
1743732324894.6548,-2.681506,3.095703,9.598354,-0.386903,0.54758,-0.071145
1743732325505.241,-2.468422,2.020706,9.136273,-0.087133,0.23875,0.104453
1743732325887.3086,-3.021482,1.956063,8.647857,-0.045565,0.037305,-0.018919
1743732325987.16,-3.342306,1.426944,8.341399,-0.12124,0.084202,0.082603
1743732326635.6042,-3.275268,1.855506,8.506598,-0.019718,-0.005063,-0.009859
