millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743849615760.8928,7.513005,1.671153,2.164358,0.433801,-1.048796,-0.09566
1743849616181.1396,8.099585,2.219425,-4.180276,-0.263798,-0.959531,-0.074077
1743849616569.8967,11.42513,2.525883,-5.109226,-0.324285,0.384772,0.074343
1743849616979.1035,10.52491,1.831564,-0.02873,0.931819,-0.239283,0.533191
1743849617388.133,6.964733,0.620098,4.29041,-0.569164,1.730141,-0.330147
1743849617800.8972,3.272874,-0.620098,8.635885,-0.776205,1.449289,0.081271
1743849618209.5276,-2.387019,-2.269703,9.344569,0.000266,0.503081,0.363721
1743849618521.2114,-2.549825,-1.977611,8.829816,0.040502,0.036772,-0.042101
1743849618854.4697,-2.470816,-1.987187,8.817844,-0.034907,-0.022116,-0.020784
1743849619272.7393,-2.351106,-2.025495,8.774749,0.01279,-0.050628,0.042368
