millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743849539566.1436,7.750031,-0.038307,2.717419,0.126836,-0.682144,-0.050361
1743849539973.1206,9.375694,0.909797,-3.49314,-0.310962,-1.146855,-0.232089
1743849540504.1392,12.0979,-1.759738,-8.444349,1.251574,1.46581,1.186824
1743849540819.084,10.76912,-2.336741,-2.126051,-0.168138,1.976352,-0.855345
1743849541249.917,6.47871,-0.136469,7.144298,-0.242747,1.71362,0.16041
1743849541614.1362,-1.601721,-1.154005,10.00537,-0.162009,2.295308,0.270193
1743849542024.2603,-3.859453,-0.713472,8.554482,-0.027179,0.223296,-0.007727
1743849542465.9583,-4.060566,-1.067814,8.188169,-0.036239,-0.055424,0.004263
1743849542844.8994,-3.852271,-1.012747,8.343793,-0.016521,-0.047164,-0.010925
1743849543253.0386,-3.785233,-0.981623,8.463503,-0.002398,-0.041302,-0.010126
