millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741854363339.037,-0.069432,0.244209,9.356541,-0.020784,0.02558,-0.005862
1741854363544.505,-0.155623,0.265756,9.464279,-0.00453,-0.033041,-0.00826
1741854363723.3638,-0.09098,0.23942,9.445126,-0.002665,-0.02185,-0.010925
1741854363966.1794,-0.11971,0.203507,9.454702,-0.014922,-0.002931,-0.011724
1741854364134.2297,0.002394,0.217872,9.603143,0.010392,-0.050628,-0.008527
1741854364346.1138,-0.086191,0.253785,9.406818,-0.019718,0.003464,-0.009859
1741854365583.8403,-0.201113,0.275333,9.737218,0.004263,-0.003198,-0.007461
1741854365774.1409,-0.131681,0.296881,9.524135,-0.013856,-0.014655,-0.008793
1741854365977.409,-0.114922,0.277727,9.500193,-0.021051,-0.007727,-0.007727
1741854366187.017,-0.098162,0.287304,9.497798,-0.013323,-0.013057,-0.009859
1741854366395.1658,-0.117316,0.277727,9.531317,-0.010392,-0.011458,-0.007461
1741854368849.0745,-0.124498,0.275333,9.457097,-0.009593,0.010392,-0.007461
1741854368998.946,-0.105345,0.316035,9.495404,-0.011191,-0.008527,-0.007994
1741854369268.994,-0.167594,0.318429,9.758766,0.002132,-0.007194,-0.012524
1741854369479.528,-0.117316,0.325611,9.555259,-0.021051,-0.016787,-0.00826
1741854369679.8787,-0.105345,0.272939,9.497798,-0.017587,-0.020784,-0.007461
1741854369879.1453,-0.069432,0.289698,9.495404,-0.010126,-0.013057,-0.009593
1741854370099.8816,-0.081403,0.292093,9.414001,-0.012257,-0.016254,-0.008527
1741854370290.5288,0.026336,0.304064,9.579201,0.00453,-0.043433,-0.015988
1741854370511.8276,-0.083797,0.287304,9.351752,-0.013057,0,-0.007727
1741854370704.6833,-0.069432,0.299275,9.433155,-0.007994,-0.018919,-0.007994
1741854370885.0454,-0.064643,0.28491,9.512163,-0.009326,-0.013856,-0.009593
1741854371112.7666,-0.021548,0.301669,9.423578,-0.008527,0.004263,-0.008527
1741854371337.6755,-0.07422,0.335188,9.457097,-0.007727,-0.017587,-0.006928
1741854371514.7935,-0.023942,0.31364,9.44752,-0.011724,-0.005596,-0.009326
1741854371745.629,-0.067038,0.332794,9.466674,-0.01359,-0.005862,-0.004263
1741854371932.002,-0.09098,0.308852,9.52174,-0.011991,-0.009859,-0.007194
1741854372145.71,-0.102951,0.3304,9.294291,-0.039436,-0.014389,-0.003464
1741854372350.8555,-0.110133,0.287304,9.466674,-0.014389,-0.018652,-0.005329
1741854372546.4038,-0.134075,0.277727,9.533711,-0.013323,-0.009859,-0.006395
