millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741854475777.603,0.203507,0.80924,9.497798,-0.015455,-0.016521,-0.007461
1741854475969.3032,0.241814,0.830788,9.478644,-0.010126,-0.015721,-0.01359
1741854476162.612,0.107739,0.837971,9.80665,-0.001332,-0.009593,-0.009859
1741854476369.5674,0.19393,0.869095,9.481039,-0.014123,-0.01279,-0.009593
1741854476574.199,0.158017,0.828394,9.548077,-0.034107,-0.023715,-0.019985
1741854477798.6738,0.227449,0.811634,9.437943,-0.009593,-0.014922,-0.00906
1741854478005.132,0.301669,0.873884,9.555259,0.000799,-0.017853,-0.010392
1741854478208.42,0.229843,0.878672,9.588778,-0.027979,-0.009593,-0.008527
1741854478412.1611,0.213084,0.849942,9.449914,-0.012524,-0.016787,-0.007194
1741854478623.2737,0.21069,0.857124,9.469068,-0.011458,-0.011724,-0.006662
1741854478833.2288,0.258574,0.857124,9.406818,-0.057822,-0.020784,-0.006395
1741854479024.749,0.184354,0.866701,9.483433,-0.01279,-0.002398,-0.012524
1741854479224.1077,0.201113,0.828394,9.454702,-0.017587,-0.011724,-0.005862
1741854479439.7292,0.189142,0.833182,9.442732,-0.012257,-0.00826,-0.009326
1741854479646.4526,0.222661,0.871489,9.555259,-0.010925,-0.020251,-0.008527
1741854479855.5544,0.141258,0.849942,9.473856,-0.005596,-0.009859,-0.005862
1741854479977.1497,0.215478,0.847547,9.55047,-0.027712,-0.017054,-0.007194
1741854480102.217,0.21069,0.826,9.464279,-0.019452,-0.019452,-0.008527
1741854480369.39,0.179565,0.828394,9.469068,-0.011724,-0.015988,-0.007461
1741854480561.038,0.220267,0.852336,9.174581,0.019985,0.005596,-0.005329
1741854480771.5012,0.196325,0.861913,9.471462,-0.00826,-0.019452,-0.007727
1741854480973.4783,0.215478,0.871489,9.469068,-0.018119,-0.016254,-0.005063
1741854481178.4673,0.237026,0.866701,9.471462,-0.012257,-0.015455,-0.008527
1741854481373.488,0.234632,0.833182,9.459491,-0.011458,-0.011724,-0.007461
1741854481591.6606,0.287304,0.871489,9.44752,-0.005596,-0.015988,-0.008527
1741854481807.2524,0.203507,0.806846,9.428367,-0.015988,-0.000799,-0.008527
1741854482007.7258,0.237026,0.840365,9.435549,-0.011991,-0.015188,-0.005329
1741854482212.9888,0.225055,0.837971,9.471462,-0.011191,-0.014123,-0.00906
1741854482421.845,0.1652,0.847547,9.308656,-0.065017,0.002931,-0.000533
1741854482607.6675,0.289698,0.80924,9.411607,-0.010126,-0.034107,0.022383
