millis,accX,accY,accZ,gyroX,gyroY,gyroZ,i,i
1741003552.2454295,9.868899,-1.163582,2.640805,-0.02638,-0.044499,-0.045299,35.80647,sit
1741003552.3503704,9.895236,-1.012747,2.56419,-0.01359,-0.040502,-0.036505,35.77706,sit
1741003552.4107063,9.835381,-1.024718,2.461239,-0.007461,-0.018119,-0.050095,35.81529,sit
1741003552.4644895,9.873688,-1.055843,2.552219,-0.010126,-0.019718,-0.040502,35.78882,sit
1741003552.5478008,9.746795,-0.967257,2.482787,0.01279,-0.045565,-0.038904,35.7947,sit
1741003552.6019347,9.782708,-1.079785,2.58095,-0.007461,-0.062086,-0.039969,35.80059,sit
1741003552.667381,9.368511,-1.058237,2.454057,-0.013323,-0.163608,-0.08207,35.78,sit
1741003552.7255661,9.744401,-0.790087,2.525883,-0.005329,-0.322153,-0.204643,35.78294,sit
1741003552.78427,9.756371,-0.962469,2.425326,0.055424,-0.440196,-0.324551,35.78,sit
1741003552.8403993,9.816227,-0.732626,2.099715,0.166273,-0.58755,-0.367185,35.81529,sit
1741003552.8952744,9.662998,-0.466869,1.817199,0.252873,-0.728775,-0.37438,35.79765,sit
1741003553.015843,9.126697,0.21069,0.521936,0.343737,-1.127936,-0.436199,35.81823,sit
1741003553.085295,8.3821,0.426168,0.023942,0.358658,-1.340839,-0.54758,35.80353,sit
1741003553.1824071,6.375759,-0.04549,-2.777274,0.526796,-1.270493,-0.342138,35.80647,sit
1741003553.2690597,9.765948,1.910573,-4.098873,0.20491,-1.262233,-0.201446,35.80353,sit
1741003553.343282,9.19134,1.601721,-4.675876,0.036505,-1.1314,-0.33521,35.80059,sit
1741003553.4169877,10.12029,1.580173,-5.444415,-0.055957,-0.559305,-0.181194,35.80941,sit
1741003553.4726117,10.10114,2.08535,-5.741296,-0.114845,-0.279253,-0.206775,35.81235,sit
1741003553.5271227,10.43154,2.015918,-5.626374,-0.162809,-0.022116,-0.128435,35.7947,sit
1741003553.5843213,10.63744,2.238579,-6.143522,-0.0866,0.365587,0.033308,35.80353,sit
1741003553.6380742,11.04924,2.750938,-5.793968,-0.083669,0.569697,0.272591,35.81235,sit
1741003553.7125225,11.37246,2.552219,-5.501875,-0.154548,0.747694,0.394631,35.81529,sit
1741003553.7704897,11.00375,1.991976,-4.762067,-0.025047,0.853746,0.369317,35.81529,sit
1741003553.8454463,10.9008,1.197101,-3.79481,-0.061286,1.056257,0.361057,35.80941,sit
1741003554.0802531,9.988609,-0.117316,0.237026,-0.076475,0.861473,0.43993,35.81235,sit
1741003554.135111,10.59913,-0.354342,0.663194,-0.025047,0.930487,0.311495,35.81823,sit
1741003554.1921005,10.29746,-0.622492,1.058237,0.074609,1.114346,0.26593,35.80353,sit
1741003554.2585037,9.868899,-0.794875,1.587356,0.111648,1.24811,0.243547,35.81529,sit
1741003554.3271093,10.01734,-0.914585,3.289633,0.036239,1.091963,0.039969,35.81529,sit
1741003554.3907268,9.662998,-0.591368,3.852271,0.059688,1.166573,-0.015455,35.79765,sit
1741003554.4542546,8.465898,-0.622492,4.812346,0.016254,1.112214,0.090864,35.79765,sit
1741003554.5198276,8.219295,-0.6608,5.351041,-0.155881,0.949139,0.128168,35.80647,sit
1741003554.5773222,7.924808,-1.362301,6.220136,-0.146554,0.685608,0.004263,35.80647,sit
1741003554.6338682,7.76679,-1.201889,5.844246,-0.080738,0.296306,0.001332,35.79765,sit
1741003554.688142,8.300697,-1.235408,5.171476,-0.035706,0.12204,0.111648,35.78882,sit
1741003554.7430696,8.41083,-1.134852,4.728549,-0.016521,0.072478,0.193452,35.7947,sit
1741003554.7974303,8.805874,-0.995988,4.850653,-0.026913,0.015721,0.13483,35.7947,sit
1741003554.8507705,8.688558,-1.077391,5.178658,0.012524,-0.022116,0.044233,35.78882,sit
1741003554.905007,8.506598,-1.022324,5.408502,0.010392,-0.057822,-0.073011,35.78,sit
1741003554.9692965,8.441956,-1.007959,5.080496,0.020784,-0.10019,-0.056224,35.79765,sit
1741003555.0430477,8.822633,-0.893037,5.087678,0.016254,-0.066616,-0.024248,35.78882,sit
1741003555.1079872,8.853758,-0.962469,4.93445,0.013856,-0.012257,-0.031709,35.80059,sit
1741003555.1843345,8.633492,-0.950498,5.056554,-0.031176,0.00373,-0.022383,35.78882,sit
