millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741853627261.827,10.07241,-0.679953,1.936909,0.006662,-0.040502,-0.005063
1741853627489.8118,10.01255,-0.785298,2.011129,-0.011458,-0.000799,0.001332
1741853627670.5212,10.08917,-0.761356,1.958457,-0.008527,-0.015188,-0.009326
1741853627874.8433,10.12508,-0.818817,1.872266,-0.007461,-0.00826,-0.007727
1741853628080.5935,10.04607,-0.670376,1.94888,-0.014123,-0.047697,-0.012524
1741853628310.219,10.00776,-0.797269,1.879448,-0.013323,0.002931,-0.010392
1741853628513.6245,10.07241,-0.792481,1.924938,-0.005862,-0.006129,0.010126
1741853628719.8655,9.950302,-0.778116,1.905785,-0.007194,0.001332,-0.000799
1741853628900.824,10.08198,-0.78051,1.900996,0.000533,-0.028245,-0.00373
1741853629106.3147,10.06283,-0.787692,1.972822,-0.017587,0.007461,-0.001599
1741853629309.4202,9.995792,-0.859518,2.003947,-0.011991,0.007727,-0.001599
1741853629514.64,9.967062,-0.794875,1.956063,-0.005063,-0.015188,-0.009593
1741853629717.8147,9.955091,-0.792481,2.027889,-0.044766,0.004796,-0.009326
1741853629940.3838,10.02692,-0.794875,1.980005,-0.017054,0.000266,0.001599
1741853630129.3816,9.854534,-0.835576,2.001553,-0.029311,-0.00826,0.014389
1741853630356.652,9.945514,-0.885855,2.035071,-0.016254,-0.050894,-0.00906
1741853630557.589,10.01734,-0.955287,2.013524,-0.018919,-0.031975,-0.006395
1741853630752.438,10.0748,-0.857124,2.063802,-0.011724,-0.029044,-0.018919
1741853630963.4622,9.974244,-0.916979,2.0231,-0.003198,-0.040502,-0.025314
1741853631163.9617,9.931149,-0.869095,1.96564,-0.017587,-0.035706,-0.018119
1741853631367.34,10.03649,-0.878672,2.0231,-0.03544,-0.019718,-0.002665
1741853631585.2424,10.07959,-0.866701,1.970428,-0.001332,0.01279,-0.014922
1741853631784.267,9.923966,-0.845153,1.92015,-0.003997,-0.055424,-0.024515
1741853631972.4883,9.993398,-0.816423,2.025495,-0.015455,0.000799,-0.001066
1741853632199.8247,10.18015,-0.857124,2.015918,-0.00906,-0.040769,0.011458
1741853632381.983,10.02452,-0.919373,2.008735,-0.024248,0.020251,-0.014123
1741853632605.4492,10.20888,-0.943315,2.063802,-0.00453,0.032508,-0.001599
1741853632811.7363,10.05565,-0.902614,2.051831,-0.00906,-0.019185,-0.00906
1741853633030.554,10.06522,-0.828394,2.006341,-0.006928,-0.003997,-0.012257
1741853633226.0713,10.00776,-0.902614,1.999158,-0.00826,-0.018919,-0.008793
