millis,accX,accY,accZ,gyroX,gyroY,gyroZ,i,i
1741003172.3548288,9.667787,0.248997,2.13084,0.026113,-0.59208,-0.20944,36.02706,sit
1741003172.4149067,8.863335,0.167594,1.628057,0.065017,-0.931553,-0.220897,36.05353,sit
1741003172.468213,9.471462,0.459687,0.981623,0.106585,-1.15325,-0.372248,36.04176,sit
1741003172.5246358,8.707711,0.708684,0.371101,0.20038,-1.357626,-0.399161,36.03294,sit
1741003172.5787973,8.26239,0.998382,-0.806846,0.276855,-1.434368,-0.545449,36.03,sit
1741003172.6321206,8.535329,1.024718,-1.51553,0.244613,-1.554809,-0.465776,36.01529,sit
1741003172.6867447,7.536947,1.118092,-2.70066,0.277654,-1.529228,-0.61393,36.03882,sit
1741003172.7445724,7.173028,1.42455,-3.598485,0.358126,-1.546015,-0.357326,36.02412,sit
1741003172.7989514,8.707711,1.984793,-4.584896,0.345335,-1.492989,-0.540652,36.02412,sit
1741003172.8623743,9.064447,2.913743,-5.159505,0.373047,-1.176698,-0.214236,36.03294,sit
1741003172.9157243,8.552089,2.523489,-5.90889,0.29151,-0.735969,0.023715,36.0447,sit
1741003172.9716573,8.908825,2.06859,-6.31351,0.193985,-0.490824,-0.018652,36.01529,sit
1741003173.032619,9.911995,2.995146,-7.587225,-0.275789,-0.338674,-0.084469,36.02412,sit
1741003173.0922036,9.725247,2.185906,-7.898471,-0.271259,0.144156,-0.010392,36.02118,sit
1741003173.1479874,10.55125,3.49314,-7.429208,-0.275522,0.432735,-0.018919,36.02706,sit
1741003173.2007155,10.50576,1.666364,-7.292738,-0.287513,0.729308,0.112181,36.02118,sit
1741003173.2590284,10.79067,2.712631,-6.818686,-0.160677,0.949139,0.195583,36.01235,sit
1741003173.3206975,9.792285,1.953669,-6.325481,-0.165207,1.162043,0.490824,36.02118,sit
1741003173.3816621,10.80024,1.290475,-5.097255,-0.330946,1.071179,0.526796,36.01529,sit
1741003173.44063,12.74434,1.625663,-3.557784,-0.485761,0.84442,0.260334,36.02412,sit
1741003173.4985995,10.33816,-0.162806,-2.616863,-0.334943,1.134064,0.343204,36.01823,sit
1741003173.5525863,8.209718,0.952892,-1.549049,-0.224628,1.133265,0.402358,36.03588,sit
1741003173.6100142,9.483433,0.505177,-0.804452,-0.156946,0.980315,0.598475,36.02118,sit
1741003173.6744428,10.51773,0.514753,0.076614,0.013856,1.005097,0.37358,36.02118,sit
1741003173.7293923,10.13466,0.821211,0.469264,0.204643,1.192953,0.082603,36.02412,sit
1741003173.7851102,10.11311,0.56982,1.221043,0.268861,1.276355,0.056224,36.01823,sit
1741003173.843147,10.01255,0.677559,2.269703,0.207308,1.290478,-0.096193,36.02118,sit
1741003173.899224,9.900024,0.849942,3.684676,0.145489,1.215335,-0.144156,36.01823,sit
1741003173.9528096,8.444349,1.331176,3.797204,-0.29977,1.043467,-0.281917,36.00941,sit
1741003174.0075388,7.455544,1.410185,4.709395,-0.869201,0.840956,0.083403,36.02412,sit
1741003174.0602314,8.561666,0.148441,5.303157,-0.97472,0.725844,0.323485,35.99765,sit
1741003174.1139557,9.794679,-0.725443,5.861006,-0.855611,0.537455,0.092729,36.02118,sit
1741003174.16757,9.184157,-0.921768,5.57849,-0.399694,0.26966,-0.251807,36.00941,sit
1741003174.2223713,8.700529,-0.407014,4.13718,-0.189455,0.237152,-0.153482,36.02118,sit
1741003174.2828634,8.224083,-0.486023,4.216189,-0.051427,0.177464,0.135363,35.98588,sit
1741003174.335938,8.674192,-0.409408,4.838682,0.014389,-0.007727,0.193452,35.99176,sit
1741003174.3911307,9.255983,-0.277727,4.99191,0.027712,-0.179063,0.019185,36.00941,sit
1741003174.4463859,9.097966,-0.301669,4.841076,-0.018386,-0.180129,-0.067948,36.00941,sit
1741003174.5044987,9.047688,-0.167594,4.659117,0.000266,-0.02638,-0.05649,35.98,sit
1741003174.564465,8.959103,-0.129287,4.436456,0.026646,0.045299,-0.009326,35.99176,sit
1741003174.622432,9.057265,-0.004788,4.458004,0.061819,0.003464,-0.050095,35.96529,sit
1741003174.687814,9.07163,-0.150835,4.278439,0.055424,-0.069547,-0.05649,35.97706,sit
1741003174.7449064,9.0429,-0.079009,4.450821,0.024248,-0.089798,-0.006395,35.98588,sit
1741003174.8010323,9.160215,-0.098162,4.517859,0.032242,-0.060487,-0.009326,35.97118,sit
1741003174.8552842,9.052477,0.107739,4.493917,0.027712,-0.034374,0.003198,35.95059,sit
1741003174.9178023,9.093178,0.014365,4.503493,-0.003198,-0.023182,-0.018386,35.96235,sit
1741003174.9753003,9.07163,-0.040701,4.371812,-0.024781,-0.032508,0,35.95353,sit
1741003175.0284238,9.07163,-0.088585,4.321534,-0.01279,-0.023182,-0.022649,35.96824,sit
1741003175.0840964,9.090784,-0.009577,4.39336,-0.015721,-0.035173,-0.010392,35.95941,sit
1741003175.1404214,9.07163,-0.102951,4.436456,0.003464,-0.03011,-0.002931,35.95647,sit
