millis,accX,accY,accZ,gyroX,gyroY,gyroZ,i,i
1741003286.2058644,9.665392,0.150835,1.053449,0.188389,-0.192119,-0.146288,35.88,sit
1741003286.2621868,9.464279,0.488417,1.077391,0.238484,-0.533724,-0.255538,35.88294,sit
1741003286.3163285,9.500193,1.005565,1.024718,0.206508,-0.860141,-0.323485,35.90353,sit
1741003286.3700256,9.234436,1.13964,0.143652,0.237951,-1.154582,-0.364787,35.89177,sit
1741003286.4274673,10.86728,2.466028,-0.761356,0.225161,-1.211605,-0.26966,35.89765,sit
1741003286.484696,8.487445,0.603339,-0.802058,0.350132,-0.618726,-0.139893,35.87706,sit
1741003286.5380578,8.14268,0.878672,-1.685518,0.372515,-0.86627,-0.056224,35.90353,sit
1741003286.6178446,9.23683,1.007959,-2.219425,0.380242,-0.889985,0.096193,35.89471,sit
1741003286.6720262,8.497022,-0.014365,-2.870648,0.418613,-0.993106,0.002665,35.89471,sit
1741003286.7261643,8.197746,1.012747,-3.330335,0.25687,-1.054925,-0.028778,35.89765,sit
1741003286.779806,8.719683,0.984017,-3.91452,0.141758,-0.919562,-0.115645,35.87412,sit
1741003286.8365853,8.880095,1.118092,-4.920084,0.019985,-0.789795,-0.054358,35.89471,sit
1741003286.8961005,8.896853,1.122881,-4.553771,-0.077807,-0.587816,-0.191587,35.90353,sit
1741003286.9489527,9.016563,1.465251,-5.762844,-0.088998,-0.442328,-0.187856,35.87412,sit
1741003287.0049427,9.615114,1.721431,-6.090849,-0.155081,-0.420744,-0.237152,35.89765,sit
1741003287.0582795,9.998186,1.84593,-6.600814,-0.01732,-0.191853,-0.177997,35.88294,sit
1741003287.114114,9.703699,1.996764,-6.777985,0.080738,0.081005,-0.0874,35.89765,sit
1741003287.1853428,10.38126,2.494758,-7.773973,-0.022916,0.508943,0.115112,35.90353,sit
1741003287.239936,11.66216,2.588132,-7.299921,-0.038904,0.794591,0.263265,35.88882,sit
1741003287.2972767,10.89601,1.49877,-6.026206,-0.053026,0.920628,0.202511,35.88588,sit
1741003287.3567965,11.11388,1.695095,-4.903325,-0.199047,0.916364,0.128168,35.89177,sit
1741003287.4107354,12.39957,1.939303,-3.632004,-0.212371,0.655498,0.095127,35.87412,sit
1741003287.4717555,9.349358,0.742203,-2.798822,-0.107917,0.971256,0.062352,35.88294,sit
1741003287.5398514,8.841787,1.16837,-2.365471,-0.16041,1.103954,0.153482,35.88294,sit
1741003287.605176,10.55125,0.90022,-1.441309,-0.185724,0.948873,0.099923,35.89471,sit
1741003287.6780455,10.78827,1.027112,-0.591368,-0.259268,1.044,0.074077,35.87706,sit
1741003287.746729,9.545682,0.277727,0.383072,-0.119642,1.153783,0.127902,35.86235,sit
1741003287.8083344,9.607931,0.859518,0.828394,-0.100723,1.027746,0.065283,35.85647,sit
1741003287.9119773,10.20648,1.036689,2.118869,-0.20864,0.817507,-0.037038,35.87118,sit
1741003287.9745142,10.24239,1.211466,3.667917,-0.16494,0.733305,-0.130567,35.87118,sit
1741003288.073564,8.480263,1.228225,4.082114,-0.3917,0.80445,-0.066349,35.85353,sit
1741003288.1271627,8.549694,0.871489,4.522647,-0.547847,0.48283,-0.041835,35.85647,sit
1741003288.1811223,8.825027,0.107739,4.898537,-0.494554,0.160677,0.014123,35.85647,sit
1741003288.2349095,9.593566,-0.222661,4.132392,-0.228358,-0.024781,-0.064217,35.84471,sit
1741003288.2925136,9.629479,0.42138,3.112462,-0.049296,0.447923,-0.010658,35.84471,sit
1741003288.348862,8.966286,0.471658,3.363853,-0.089265,0.661093,0.172401,35.84471,sit
1741003288.4048538,9.150639,0.45011,4.551377,-0.03091,0.376511,0.173201,35.83588,sit
1741003288.4606977,9.14585,0.253785,4.915296,0.002132,-0.070346,0.070613,35.83294,sit
1741003288.5151687,8.76996,0.371101,4.460398,0.015721,-0.253139,-0.007461,35.87706,sit
1741003288.5688133,9.174581,0.354342,4.106056,0.016787,-0.197715,0.013323,35.85059,sit
1741003288.6223702,9.167398,0.462081,4.048595,-0.001066,-0.040236,0.023715,35.85647,sit
1741003288.680375,9.392453,0.371101,4.082114,-0.017054,0.069813,0.038904,35.84177,sit
1741003288.7360954,9.198523,0.349553,4.046201,-0.019985,0.130833,0.005862,35.83,sit
1741003288.7905023,9.109938,0.3304,4.22816,-0.031176,0.055691,-0.017587,35.83588,sit
1741003288.844491,9.210494,0.318429,4.278439,-0.005063,-0.006928,-0.033841,35.84471,sit
1741003288.900603,9.035717,0.37589,4.355053,-0.003464,-0.101789,-0.024781,35.82706,sit
1741003288.9542103,9.224859,0.426168,4.216189,0.008527,-0.071145,-0.007727,35.82706,sit
1741003289.0107157,9.143456,0.411803,4.223372,0.007461,-0.038371,-0.000266,35.85353,sit
1741003289.0636415,9.275137,0.385466,4.15394,-0.01359,0.023715,0.007994,35.83,sit
