millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741853614882.547,9.746795,-1.161188,2.959233,-0.00373,0.008793,0.00826
1741853615075.2808,9.679757,-1.072602,2.935291,-0.026113,-0.06475,0.008527
1741853615301.0435,9.739613,-1.053449,2.932897,-0.006662,-0.020518,-0.001066
1741853615486.6575,9.797073,-1.120486,2.954445,-0.015721,-0.014922,-0.015721
1741853615707.8755,9.631873,-1.079785,2.911349,-0.008793,-0.005329,0.001865
1741853615894.3633,9.768343,-1.106121,2.920926,-0.001865,-0.011991,-0.006395
1741853616100.9893,9.718064,-1.199495,2.873042,-0.016787,0.022116,-0.008527
1741853616315.5664,9.701305,-1.060631,2.904167,-0.001332,0.011724,0.006928
1741853616512.8508,9.763555,-1.165976,2.786851,-0.010126,-0.020251,0.002132
1741853616740.1555,9.763555,-1.256956,2.841918,-0.034907,0.014655,0.006928
1741853616934.9946,9.751583,-1.278504,2.882619,-0.009326,0.013856,0.00453
1741853617136.9666,9.651027,-1.235408,2.918532,-0.030643,-0.002931,-0.004263
1741853617327.7764,9.708488,-1.244985,2.901772,0.003464,-0.004263,-0.022116
1741853617544.6567,9.739613,-1.247379,2.868254,-0.015988,-0.007727,-0.007727
1741853617764.098,9.672575,-1.276109,2.858677,-0.014922,-0.031176,0.001332
1741853617960.7483,9.746795,-1.23062,2.82037,-0.026646,-0.007461,-0.014922
1741853618161.0413,9.627085,-1.21386,2.873042,-0.023982,-0.029044,-0.004263
1741853618352.0212,9.775525,-1.240196,2.89459,-0.007461,-0.019718,-0.014389
1741853618568.459,9.730036,-1.189918,2.832341,-0.018919,0.012257,-0.003464
1741853618791.598,9.775525,-1.288081,2.858677,0.005063,-0.022383,-0.019185
1741853618987.19,9.751583,-1.16837,2.873042,0.013057,-0.039703,-0.004796
1741853619188.7878,9.804255,-1.35033,2.861071,0.014389,-0.003997,-0.010126
1741853619392.5796,9.799467,-1.209072,2.794033,0.004263,-0.000799,0
1741853619580.8733,9.813833,-1.264138,2.734178,0,-0.040502,-0.012524
1741853619809.553,9.734824,-1.206678,2.75812,-0.024248,-0.00826,-0.008793
1741853620013.112,9.718064,-1.194707,2.789245,-0.029044,0.025047,-0.014922
1741853620211.7473,9.770737,-1.25935,2.896984,-0.037838,-0.034107,0.000266
1741853620417.446,9.785102,-1.194707,2.801216,-0.040236,-0.010126,-0.024515
1741853620634.2603,9.715671,-1.204283,2.789245,-0.009859,-0.058089,-0.029044
1741853620833.258,9.825804,-1.189918,2.717419,-0.019985,-0.125504,-0.069014
