millis,accX,accY,accZ,gyroX,gyroY,gyroZ,i,i
1741003694.1581087,9.605537,-0.612916,1.285686,0.102588,-0.859075,-0.29977,35.25059,sit
1741003694.215019,9.500193,-0.141258,0.998382,0.057023,-1.127936,-0.40076,35.26235,sit
1741003694.2806144,8.350976,0.414197,-0.383072,-0.003997,-1.395464,-0.411951,35.26235,sit
1741003694.3329656,8.868123,0.878672,-1.209072,-0.055158,-1.442894,-0.299504,35.25647,sit
1741003694.3865485,7.881712,0.323217,-2.346318,-0.079939,-1.53589,-0.302968,35.26529,sit
1741003694.4397678,8.655039,0.550666,-3.485958,-0.095127,-1.362956,-0.084735,35.25647,sit
1741003694.496876,9.174581,0.64404,-3.145981,-0.151884,-1.394931,-0.312294,35.24471,sit
1741003694.5510585,8.346188,0.687136,-4.72376,-0.175865,-1.207075,-0.163342,35.25941,sit
1741003694.610391,8.750807,0.926556,-4.994305,-0.023182,-1.075975,-0.254205,35.23588,sit
1741003694.667726,8.717288,1.098939,-5.226542,0.114312,-0.884922,-0.171069,35.26529,sit
1741003694.7211084,8.564059,1.206678,-5.923255,0.055424,-0.714119,-0.140426,35.26529,sit
1741003694.781584,8.492233,1.367089,-7.156269,0.126836,-0.602205,-0.280851,35.27412,sit
1741003694.8361392,9.600749,1.94888,-7.496245,0.055691,-0.277121,-0.140159,35.27412,sit
1741003694.910929,9.679757,2.059013,-8.11395,0.101256,0.155881,-0.067948,35.26529,sit
1741003694.9783537,9.794679,1.242591,-8.133103,0.173201,0.531859,0.074609,35.25059,sit
1741003695.0328598,9.835381,2.229002,-8.365341,0.078873,0.64324,0.107118,35.24176,sit
1741003695.1098309,10.51533,1.489193,-7.388506,0.018652,0.822303,0.202511,35.24765,sit
1741003695.167867,10.11071,1.187524,-6.157887,-0.072478,0.99657,0.267795,35.23882,sit
1741003695.228943,11.24796,1.11091,-5.097255,-0.274723,0.933684,0.431136,35.24471,sit
1741003695.3086095,9.562442,-0.100556,-3.878607,-0.37358,0.97925,0.444459,35.27706,sit
1741003695.3714273,8.961497,0.095768,-3.071761,-0.282184,0.995504,0.628319,35.25941,sit
1741003695.4312713,10.59195,-0.445322,-2.166753,-0.057023,1.028012,0.538521,35.25059,sit
1741003695.4968536,10.37408,-0.402226,-1.256956,0.089531,0.962995,0.388769,35.25647,sit
1741003695.5546236,10.15141,-0.605733,-0.392649,0.162809,0.896113,0.341338,35.24471,sit
1741003695.6152496,9.873688,-0.42138,-0.093374,0.25687,0.871599,0.219299,35.25647,sit
1741003695.6733775,9.859323,-0.708684,0.545878,0.305632,1.054392,0.161743,35.25941,sit
1741003695.7362227,10.63026,-0.964863,1.587356,0.2606,1.128735,0.076208,35.24176,sit
1741003695.7966273,11.2312,-1.580173,2.542642,0.07834,1.233455,0.1311,35.25647,sit
1741003695.8517895,9.639056,-1.817199,3.335123,0.073011,1.33551,0.16121,35.24176,sit
1741003695.9057894,8.738836,-1.769315,3.73256,0.16121,1.284349,0.248077,35.24765,sit
1741003695.9684172,8.525752,-1.608904,4.15394,0.370383,1.145256,0.063152,35.23588,sit
1741003696.0254686,8.295909,-1.244985,4.838682,0.358392,0.98751,0.124438,35.22118,sit
1741003696.0871599,8.200141,-1.357512,5.770026,0.300836,0.777804,0.136162,35.22706,sit
1741003696.1472197,7.879318,-0.852336,6.126762,0.120175,0.453786,0.065017,35.24471,sit
1741003696.2063482,8.12592,-0.452504,5.185841,0.074609,0.167338,0.068214,35.22706,sit
1741003696.2610211,8.37013,-0.409408,4.999093,0.090064,0.157479,0.112447,35.22412,sit
1741003696.330766,8.341399,-0.960075,5.477933,0.031709,0.005862,-0.097259,35.24176,sit
1741003696.3862693,8.202535,-1.053449,5.681441,-0.019452,-0.109783,-0.180395,35.22706,sit
1741003696.4668152,8.350976,-1.216254,5.580884,-0.010658,-0.058888,-0.10472,35.23294,sit
1741003696.5200052,8.523358,-1.134852,5.348647,0.040236,0.059421,0.011991,35.23,sit
1741003696.57611,8.358158,-1.067814,5.276821,0.04823,0.015188,0.054891,35.23882,sit
1741003696.6369216,8.523358,-0.993594,5.250484,0.043433,-0.023449,0.032775,35.22118,sit
1741003696.7035706,8.358158,-0.964863,5.298368,0.045032,-0.006928,0.028245,35.23588,sit
1741003696.7639737,8.358158,-0.794875,5.50427,0.036239,-0.045032,-0.015988,35.23294,sit
1741003696.8211246,8.329428,-0.926556,5.396531,0.027446,-0.034107,-0.031709,35.23882,sit
1741003696.876656,8.429984,-0.907402,5.434838,0.013323,-0.046364,-0.022383,35.23882,sit
1741003696.9310026,8.449138,-0.785298,5.406107,0.011191,-0.029311,-0.033308,35.23294,sit
1741003696.9870212,8.425196,-0.873884,5.303157,-0.000533,-0.006928,-0.019185,35.23588,sit
