millis,accX,accY,accZ,gyroX,gyroY,gyroZ
40859,1.03,0.08,-0.17,-6.45,-17.85,-20.79
40964,0.99,0.06,-0.18,-6.47,-17.99,-20.82
41069,1.03,0.08,-0.18,-6.45,-18.05,-20.65
41174,1.0,0.05,-0.18,-6.48,-17.96,-20.7
41279,1.0,0.08,-0.19,-6.49,-18.03,-20.69
41384,1.01,0.07,-0.18,-6.53,-17.97,-20.74
41488,0.99,0.06,-0.17,-6.53,-18.06,-20.88
41593,1.02,0.07,-0.2,-6.53,-18.09,-20.82
41697,0.98,0.06,-0.16,-6.56,-18.02,-20.94
41802,1.02,0.09,-0.18,-6.51,-18.29,-20.84
41907,1.0,0.05,-0.18,-6.54,-18.22,-20.82
42012,1.0,0.07,-0.18,-6.53,-18.22,-20.75
42118,1.03,0.06,-0.19,-6.54,-18.27,-20.76
42223,0.98,0.08,-0.17,-6.52,-18.33,-20.84
42328,1.05,0.06,-0.18,-6.55,-18.24,-20.79
42432,0.97,0.06,-0.19,-6.6,-18.17,-20.88
42537,1.0,0.08,-0.18,-6.62,-18.18,-20.8
42642,1.03,0.06,-0.18,-6.61,-18.31,-20.86
42746,0.99,0.08,-0.17,-6.64,-18.41,-20.85
42852,1.04,0.07,-0.19,-6.64,-18.37,-20.87
42957,0.99,0.07,-0.17,-6.65,-18.36,-20.89
43062,1.01,0.06,-0.19,-6.72,-18.16,-20.87
43168,1.02,0.08,-0.18,-6.71,-18.34,-20.87
43273,0.97,0.06,-0.18,-6.74,-18.23,-20.95
43378,1.06,0.08,-0.18,-6.73,-18.43,-20.84
43483,0.98,0.05,-0.16,-6.75,-18.34,-21.01
43588,1.04,0.08,-0.17,-6.75,-18.31,-20.9
43693,1.0,0.06,-0.18,-6.76,-18.24,-21.01
43798,0.98,0.08,-0.18,-6.77,-18.16,-21.04
43903,1.05,0.06,-0.19,-6.78,-18.23,-21.03
48930,1.0,0.06,-0.18,-7.22,-18.66,-21.22
49035,1.0,0.07,-0.17,-7.21,-18.79,-21.15
49140,1.06,0.06,-0.17,-7.21,-18.85,-21.2
49244,0.97,0.07,-0.17,-7.24,-18.63,-21.28
49349,1.02,0.07,-0.21,-7.32,-18.39,-21.18
49454,0.97,0.06,-0.21,-7.33,-18.35,-21.12
49559,0.98,0.07,-0.2,-7.35,-18.39,-21.04
49664,1.03,0.06,-0.19,-7.35,-18.5,-21.04
49768,0.99,0.07,-0.16,-7.35,-18.68,-21.03
49874,1.05,0.07,-0.17,-7.38,-18.61,-21.01
49978,1.01,0.07,-0.17,-7.36,-18.67,-21.01
54902,1.01,0.07,-0.18,-7.69,-19.19,-21.1
55007,0.98,0.06,-0.17,-7.73,-19.01,-21.14
55112,1.03,0.07,-0.18,-7.71,-19.07,-21.08
55217,0.98,0.06,-0.17,-7.77,-18.99,-21.18
55322,1.05,0.08,-0.19,-7.76,-18.97,-21.05
55427,0.98,0.05,-0.19,-7.76,-18.93,-21.04
55534,0.99,0.07,-0.18,-7.76,-18.9,-21.04
55638,1.02,0.05,-0.19,-7.78,-19.0,-21.1
55743,0.98,0.07,-0.17,-7.77,-19.07,-21.1
55848,1.06,0.07,-0.18,-7.78,-19.03,-21.11
55953,0.98,0.08,-0.18,-7.76,-19.01,-21.13
56058,1.03,0.07,-0.18,-7.8,-18.79,-21.04
56164,1.01,0.08,-0.18,-7.8,-18.83,-20.99
56269,0.97,0.06,-0.19,-7.86,-18.72,-21.09
56374,1.04,0.07,-0.19,-7.85,-18.83,-21.06
56480,0.98,0.05,-0.17,-7.9,-18.99,-21.15
56585,1.03,0.09,-0.19,-7.86,-19.05,-21.02
