28600,-0.08,-0.01,0.96,11.63,-12.98,4.99
28706,-0.08,-0.02,0.96,11.64,-12.99,5.0
28811,-0.08,-0.02,0.96,11.61,-12.94,4.99
28918,-0.09,-0.01,0.96,11.65,-12.98,5.0
29024,-0.08,-0.01,0.95,11.67,-13.0,5.02
29130,-0.09,-0.01,0.97,11.68,-13.01,5.03
29236,-0.08,-0.01,0.96,11.69,-13.05,5.03
29343,-0.08,-0.02,0.95,11.67,-13.04,5.04
29449,-0.08,-0.02,0.97,11.64,-13.03,5.04
29555,-0.07,-0.01,0.97,11.65,-13.03,5.03
29663,-0.08,-0.01,0.95,11.66,-13.04,5.02
29770,-0.07,-0.02,0.96,11.67,-13.06,5.01
29877,-0.09,-0.02,0.96,11.76,-13.12,5.0
29983,-0.08,-0.02,0.95,11.75,-13.14,4.98
30090,-0.07,-0.01,0.97,11.73,-13.12,4.97
30195,-0.07,-0.02,0.95,11.72,-13.11,4.96
30301,-0.07,-0.02,0.96,11.76,-13.15,4.97
30408,-0.08,-0.02,0.96,11.77,-13.16,4.97
30515,-0.08,-0.01,0.95,11.78,-13.16,4.98
30621,-0.08,-0.01,0.96,11.78,-13.18,4.97
30726,-0.07,-0.01,0.97,11.85,-13.26,4.98
30833,-0.09,-0.01,0.96,11.84,-13.25,4.97
30940,-0.08,-0.02,0.95,11.79,-13.2,4.96
31047,-0.07,-0.01,0.95,11.8,-13.21,4.97
31154,-0.08,-0.01,0.97,11.85,-13.25,4.98
31261,-0.09,-0.01,0.97,11.87,-13.24,4.99
31368,-0.08,-0.01,0.95,11.81,-13.17,4.98
31475,-0.06,-0.02,0.94,11.76,-13.16,4.97
31582,-0.08,-0.02,0.96,11.8,-13.23,4.96
31690,-0.08,-0.01,0.96,11.9,-13.36,4.97
56683,-0.08,-0.01,0.95,12.23,-14.74,4.52
13397,-0.09,-0.01,0.96,-10.35,-59.47,361.3
13504,-0.08,-0.02,0.96,-10.39,-59.9,364.05
13611,-0.09,-0.02,0.95,-10.56,-60.37,366.77
13719,-0.08,-0.02,0.96,-10.51,-60.84,369.54
13826,-0.1,-0.01,0.97,-10.38,-61.31,372.33
13932,-0.09,-0.02,0.97,-10.4,-61.72,375.0
14039,-0.09,-0.03,0.95,-10.54,-62.2,377.72
14145,-0.09,-0.02,0.96,-10.66,-62.75,380.42
14252,-0.09,-0.03,0.96,-10.69,-63.21,383.19
14358,-0.08,-0.02,0.96,-10.93,-63.69,385.87
14465,-0.09,-0.01,0.96,-10.59,-64.16,386.29
