millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741853448791.6052,9.837775,-0.308852,2.56419,-0.016787,0.006129,0.003464
1741853448984.6162,9.837775,-0.332794,2.58095,-0.011991,-0.00373,-0.00453
1741853449186.3018,9.849746,-0.328006,2.585738,-0.010392,-0.000533,-0.008793
1741853449412.9473,9.832987,-0.260968,2.487576,-0.008527,-0.048763,-0.003464
1741853449620.305,9.909601,-0.325611,2.597709,-0.015188,-0.022383,-0.017054
1741853449802.117,9.921572,-0.316035,2.547431,-0.008793,-0.053559,-0.007461
1741853450027.3699,9.880871,-0.354342,2.497152,0.001599,0.003997,-0.005063
1741853450238.6199,9.813833,-0.287304,2.540248,-0.020518,0.003464,-0.005596
1741853450439.5305,9.811439,-0.354342,2.5187,-0.00453,-0.021317,-0.01359
1741853450621.173,9.916783,-0.316035,2.56419,-0.019985,0.0437,-0.002398
1741853450844.3555,9.844957,-0.275333,2.549825,-0.007461,-0.023182,-0.01359
1741853451044.5034,9.799467,-0.335188,2.679112,-0.005596,-0.025847,-0.006662
1741853451246.8381,9.878476,-0.301669,2.600103,-0.003464,0.018652,-0.007461
1741853451443.7124,9.787497,-0.323217,2.616863,-0.01732,-0.00453,-0.007194
1741853451668.3318,9.828198,-0.347159,2.590526,-0.019985,-0.029577,-0.010392
1741853451868.816,9.907207,-0.318429,2.624045,-0.01732,0.009326,-0.001066
1741853452058.5667,9.988609,-0.282516,2.688689,-0.032242,0.028778,0.003464
1741853452260.084,9.89763,-0.296881,2.726996,-0.018386,-0.021583,-0.007461
1741853452464.3462,9.871294,-0.392649,2.715025,-0.007994,-0.07381,0.033308
1741853452693.8958,9.890448,-0.272939,2.590526,-0.009326,-0.056757,-0.04823
1741853452897.0864,9.900024,-0.3304,2.650381,-0.055691,0.016787,-0.023715
1741853453096.1987,9.80665,-0.3304,2.662352,-0.016787,-0.026646,-0.01732
1741853453299.3474,9.722853,-0.280122,2.762909,0.003464,-0.006662,0.013856
1741853453501.5464,9.799467,-0.318429,2.760514,0.000266,-0.024515,0.014922
1741853453703.5793,9.847352,-0.323217,2.786851,-0.00906,0.001066,0.012524
1741853453922.2065,9.828198,-0.282516,2.674323,-0.014123,-0.035706,-0.00453
1741853454124.1343,9.763555,-0.435745,2.741361,-0.018119,-0.018386,-0.005329
1741853454321.7778,9.785102,-0.392649,2.734178,-0.010392,-0.024515,0.002132
1741853454528.016,9.832987,-0.418985,2.844312,-0.019718,-0.001332,0.000533
1741853454741.0762,9.900024,-0.471658,2.710236,-0.007461,-0.001599,-0.001865
