millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743731590027.0027,9.969456,-2.640805,1.173159,-0.047164,0.010925,-0.193718
1743731590170.9043,11.66216,-3.371036,1.218649,0.266729,-0.06475,-0.22676
1743731590315.6116,11.48738,-1.719037,-0.296881,0.035972,0.109516,-0.233421
1743731590884.3958,9.782708,-1.041478,1.419762,-0.187856,0.431136,-0.187856
1743731591504.3604,9.555259,-0.390255,3.586514,-0.051161,-0.009326,-0.112181
1743731591869.4102,9.119514,-0.40462,3.311181,0.034107,-0.032775,0.020784
1743731592439.5427,9.830592,-0.35913,3.665523,0.103654,-0.162542,-0.004796
1743731592533.1702,11.01333,-0.737414,3.962404,-0.031443,-0.288845,-0.048763
1743731592749.8652,9.457097,-0.517148,2.667141,-0.091663,0.046364,-0.111381
1743731592973.9778,9.595961,-0.687136,2.906561,0.019718,0.026646,-0.00826
