49611,-0.04,-0.12,0.96,12.74,538.71,655.04
49692,-0.04,-0.13,0.96,12.75,539.59,656.12
49772,-0.04,-0.13,0.96,12.75,540.44,657.17
49852,-0.04,-0.13,0.97,12.79,541.3,658.23
49933,-0.05,-0.13,0.97,12.81,542.19,659.32
50013,-0.04,-0.13,0.96,12.83,543.09,660.38
50094,-0.04,-0.13,0.96,12.87,543.97,661.47
50175,-0.04,-0.13,0.97,12.91,544.84,662.54
50255,-0.03,-0.14,0.96,12.92,545.71,663.58
50335,-0.03,-0.13,0.95,12.91,546.55,664.65
50415,-0.04,-0.13,0.95,12.91,547.43,665.7
50496,-0.04,-0.13,0.96,12.92,548.34,666.77
50577,-0.03,-0.13,0.95,12.95,549.25,667.87
50658,-0.04,-0.13,0.96,12.97,550.12,668.93
50738,-0.04,-0.13,0.96,12.98,551.0,669.98
50818,-0.03,-0.13,0.96,13.0,551.88,671.04
50898,-0.04,-0.13,0.97,13.04,552.75,672.09
50978,-0.03,-0.13,0.96,13.06,553.63,673.15
51059,-0.03,-0.12,0.96,13.02,554.5,674.22
51139,-0.03,-0.14,0.93,13.02,555.46,675.29
51220,-0.04,-0.13,0.95,13.05,556.39,676.38
51301,-0.03,-0.13,0.95,13.06,557.28,677.43
51381,-0.04,-0.13,0.95,13.07,558.14,678.51
51462,-0.04,-0.13,0.97,13.09,559.02,679.58
51543,-0.04,-0.13,0.97,13.1,559.93,680.67
51623,-0.04,-0.13,0.96,13.12,560.79,681.74
51704,-0.04,-0.13,0.96,13.17,561.65,682.8
51786,-0.04,-0.13,0.96,13.2,562.53,683.89
51867,-0.04,-0.13,0.96,13.23,563.43,684.97
51948,-0.03,-0.13,0.95,13.24,564.33,686.05
52030,-0.03,-0.14,0.95,13.25,565.22,687.14
52112,-0.03,-0.13,0.95,13.25,566.14,688.23
52192,-0.05,-0.13,0.97,13.27,567.01,689.28
52273,-0.04,-0.12,0.97,13.29,567.89,690.35
52355,-0.05,-0.12,0.96,13.3,568.77,691.43
52436,-0.04,-0.13,0.96,13.33,569.66,692.51
52517,-0.04,-0.14,0.96,13.35,570.54,693.59
52598,-0.04,-0.13,0.96,13.36,571.41,694.66
52679,-0.04,-0.13,0.96,13.39,572.27,695.73
52760,-0.04,-0.13,0.96,13.41,573.16,696.79
86781,-0.03,-0.13,0.96,20.63,945.43,1148.48
