millis,accX,accY,accZ,gyroX,gyroY,gyroZ,i,i
1741003029.3954048,9.552865,0.268151,2.15957,0.184658,-0.667755,0.02185,36.15059,sit
1741003029.4510994,9.794679,0.301669,1.764527,0.20944,-0.794591,-0.010392,36.15647,sit
1741003029.5083342,9.868899,0.268151,1.11091,0.234753,-0.885721,-0.043966,36.15647,sit
1741003029.5704918,9.737218,0.361524,0.203507,0.22143,-0.900377,-0.044233,36.14471,sit
1741003029.6237462,9.916783,0.258574,-0.301669,0.16947,-0.874263,-0.038904,36.16235,sit
1741003029.6830943,9.979033,0.361524,-0.636858,0.079672,-0.894781,-0.107384,36.16529,sit
1741003029.7403097,9.830592,0.426168,-1.012747,0.049562,-0.908637,-0.16494,36.15647,sit
1741003029.7983081,9.119514,0.301669,-1.374272,0.045032,-1.006962,-0.209173,36.16235,sit
1741003029.8525484,8.568848,0.399832,-2.27928,0.088199,-1.050395,-0.154815,36.14471,sit
1741003029.9098377,8.224083,0.337582,-2.817975,0.087666,-1.18709,-0.142025,36.15941,sit
1741003029.9810653,8.224083,0.847547,-3.404555,-0.067948,-1.28728,-0.102855,36.13882,sit
1741003030.041019,8.056489,1.115698,-4.639963,-0.065283,-1.305133,0.075942,36.15059,sit
1741003030.107307,8.537724,0.435745,-5.647922,0.054092,-1.3046,-0.061819,36.15647,sit
1741003030.1749802,8.724471,0.78051,-6.277597,0.0437,-1.098891,-0.028245,36.13588,sit
1741003030.2302802,7.967903,1.175553,-7.058106,-0.002132,-0.88359,-0.078074,36.13882,sit
1741003030.2870207,8.604761,0.960075,-7.66384,-0.132965,-0.754622,-0.087933,36.15647,sit
1741003030.3585582,9.246407,1.441309,-8.327033,-0.207574,-0.450322,-0.120708,36.14765,sit
1741003030.4131837,9.083601,1.144428,-8.590396,-0.114845,-0.146821,-0.129234,36.13882,sit
1741003030.46789,8.853758,1.316811,-8.305486,-0.345602,0.09939,-0.051161,36.16235,sit
1741003030.5316107,8.537724,1.266533,-8.236053,-0.275522,0.223562,0.034107,36.15059,sit
1741003030.5916054,8.212111,1.788469,-8.324639,-0.123372,0.514805,0.202778,36.14177,sit
1741003030.6561937,9.315839,2.063802,-8.346188,-0.051161,0.730374,0.235553,36.14765,sit
1741003030.736262,9.40203,1.826776,-8.224083,-0.060753,0.875329,0.099124,36.15059,sit
1741003030.795101,10.18493,1.345541,-6.804321,0.054358,1.11328,0.270459,36.15353,sit
1741003030.8515036,9.988609,0.730232,-5.875371,0.089531,1.14872,0.297905,36.11824,sit
1741003030.9094481,10.75236,1.173159,-4.630386,0.118309,1.112747,0.298172,36.13882,sit
1741003030.981407,9.569624,0.423774,-3.289633,0.025314,1.144456,0.277387,36.12118,sit
1741003031.0473914,9.181764,0.651223,-2.343924,-0.098591,1.1314,0.209706,36.12412,sit
1741003031.1070797,9.706094,0.289698,-1.467646,-0.218766,1.015489,0.103121,36.14177,sit
1741003031.1689324,10.35013,0.356736,-1.13964,-0.359191,0.951804,-0.031176,36.15059,sit
1741003031.2284791,10.31662,-0.098162,-0.545878,-0.372781,0.952337,-0.010658,36.13882,sit
1741003031.2984245,9.825804,-0.083797,0.191536,-0.339473,0.936882,0.018119,36.13294,sit
1741003031.360556,9.706094,-0.25618,0.634463,-0.339207,0.851614,0.09193,36.13882,sit
1741003031.4173107,9.85214,-0.059855,1.201889,-0.427939,0.872665,0.084202,36.13882,sit
1741003031.4804733,9.928755,-0.272939,1.496376,-0.391167,0.733038,-0.059954,36.12706,sit
1741003031.5391777,10.20409,0.296881,1.843535,-0.294974,0.800453,-0.06555,36.14765,sit
1741003031.600341,9.902418,-0.203507,2.288857,-0.219565,0.849482,-0.083403,36.13882,sit
1741003031.658594,10.11311,0.105345,3.490746,-0.123905,0.917963,-0.101522,36.14471,sit
1741003031.7112622,9.684546,-0.150835,4.402937,-0.015721,0.968858,-0.148686,36.15353,sit
1741003031.7932007,8.724471,0.605733,4.862624,-0.102055,0.840956,-0.224361,36.13588,sit
1741003031.8581617,7.5561,0.380678,5.353435,-0.239017,0.686141,-0.132965,36.11235,sit
1741003031.9251237,7.534553,0.208296,5.710171,-0.415948,0.433801,0.053559,36.13588,sit
1741003031.9800928,8.281544,-0.150835,5.612009,-0.355461,0.302701,0.197982,36.13588,sit
1741003032.0339184,8.149862,-0.289698,5.190629,-0.310962,0.243547,0.149485,36.15353,sit
1741003032.0940115,8.616732,-0.612916,5.386954,-0.300836,0.053825,0.102855,36.13588,sit
