millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741853510130.844,9.82341,-0.80924,2.571373,0.022916,-0.06475,-0.023982
1741853510333.7644,9.727641,-0.814029,2.533065,0.001599,0.00906,-0.008793
1741853510540.4905,9.940725,-0.766145,2.48997,-0.024248,0.026113,0.005596
1741853510755.6013,9.830592,-0.727837,2.492364,-0.005063,-0.000533,-0.010126
1741853510958.2876,9.92636,-0.739808,2.5187,-0.012524,0.005063,0.000533
1741853511138.7434,9.907207,-0.730232,2.480393,-0.003464,-0.000799,-0.01279
1741853511359.4165,9.832987,-0.782904,2.537854,-0.004263,-0.030643,-0.012257
1741853511548.7144,9.856929,-0.830788,2.530671,0.033308,-0.027179,0.001066
1741853511763.5789,9.868899,-0.696713,2.437297,0.00453,-0.021317,-0.009326
1741853511982.0405,9.895236,-0.758962,2.506729,-0.000266,-0.015988,-0.002132
1741853512164.3877,9.880871,-0.751779,2.53546,-0.041302,0.027712,-0.018386
1741853512368.5376,10.04368,-0.703895,2.485181,-0.028245,0.014922,0.007194
1741853512582.2556,9.888053,-0.699107,2.401384,-0.031709,0.014922,-0.007994
1741853512781.2212,9.842564,-0.790087,2.497152,-0.005596,0.000533,-0.005596
1741853512997.7532,9.818622,-0.708684,2.403779,-0.024248,-0.033308,-0.024248
1741853513214.2124,9.873688,-0.742203,2.363077,-0.03091,-0.041568,-0.019985
1741853513392.6008,9.900024,-0.78051,2.303222,-0.019452,0.022116,0.007194
1741853513614.3105,9.923966,-0.76375,2.377442,0.014655,0.009593,-0.002132
1741853513802.916,9.904813,-0.751779,2.425326,-0.010925,-0.046098,0.003198
1741853514005.3816,10.02213,-0.766145,2.322376,0.009593,-0.034374,-0.020518
1741853514222.5522,9.921572,-0.715866,2.348712,0.016254,-0.031443,-0.014655
1741853514438.8562,9.911995,-0.701501,2.322376,0.010126,-0.031709,-0.014123
1741853514639.6084,9.935937,-0.670376,2.284068,-0.010658,-0.027179,-0.003997
1741853514843.2263,9.974244,-0.694318,2.303222,0.001599,-0.016787,-0.007994
1741853515052.4912,9.895236,-0.684742,2.27928,-0.007194,-0.020251,-0.012257
1741853515247.0962,9.801862,-0.814029,2.348712,-0.066616,-0.004796,-0.010925
1741853515452.1719,9.904813,-0.701501,2.319981,-0.019985,-0.031709,-0.010658
1741853515669.376,9.904813,-0.708684,2.375048,-0.001332,-0.032242,-0.009593
1741853515870.4128,9.909601,-0.727837,2.30801,-0.030643,-0.022383,-0.021583
1741853516070.6018,9.864111,-0.787692,2.425326,-0.023182,-0.029577,-0.024515
